Date,Y,Trade1,Trade2,Trade3,Trade4,Trade5,Trade6,Trade7,Trade8,Trade9,Trade10,Cross1,Cross2,Cross3,Cross4,Cross5,Cross6,Cross7,Cross8,Cross9,Cross10,Cross11,Cross12,Cross13,Macro1,Macro2,Macro3,Macro4,Macro5,Macro6,Macro7,NY,SB,MD,LD,ID,Seasonal
6/11/2006,80942488.66,27514.39213,0.149777769,0.299526392,0.084008154,0.108424719,2.160327906,0.856893608,0.997259429,0.899834196,0.976769951,2.617145234,2.598722533,3.201556175,17561.1128,10397.32959,1756.254445,0.193936345,0.134451358,0.030559708,0.147759519,0.231715449,0.09505686,0.245735073,5.151077765,302.0727608,192.0287235,3.292780217,2094.055162,9623.111952,12956.30299,0,0,0,0,0,4170845.156
6/18/2006,81109276.28,27423.96404,0.171742988,0.280522296,0.094105444,0.105627295,2.182165431,0.868087563,0.997128967,0.908070852,0.974957455,2.613728348,2.608079986,3.198986453,17440.66045,10406.39133,1735.574981,0.18927176,0.122335029,0.025475487,0.135021342,0.228742429,0.095158602,0.239276897,5.151653596,303.6086753,192.1730488,3.28753266,2098.48011,9624.037333,12953.73629,0,0,0,0,0,4530928.627
6/25/2006,79905827.53,27321.17748,0.162976661,0.290156664,0.098429827,0.107697147,2.188267358,0.844941611,0.996632367,0.903932416,0.975487286,2.605383631,2.586256124,3.253188849,17377.88543,10313.66762,1721.640124,0.183018839,0.137467616,0.033968399,0.138477764,0.217774414,0.094131071,0.228454138,5.152201505,304.565655,192.3340127,3.283892915,2102.808574,9625.143938,12951.41902,0,0,0,0,0,2117155.452
7/2/2006,94743472.27,27586.53384,0.248563153,0.255101547,0.106308623,0.101230352,2.246902808,0.922865031,0.996224576,0.941074011,0.974889179,2.598582723,2.653057117,3.270211926,17658.33175,10717.01033,1713.485064,0.172799477,0.143958864,0.033429212,0.118648083,0.174719863,0.102764462,0.228982094,5.152686623,304.9450098,192.506863,3.281605329,2106.949834,9626.565095,12949.49087,0,0,0,0,0,8282527.768
7/9/2006,86695905.04,27433.03136,0.162894977,0.313396959,0.08685611,0.116970562,2.217069342,0.86841393,0.995985709,0.927623048,0.974479359,2.598156763,2.617500403,3.168676151,17475.89266,10658.55882,1700.6916,0.18853061,0.153527626,0.01445735,0.140502674,0.248673895,0.102253321,0.2397141,5.153074085,304.7480499,192.6868735,3.280414176,2110.813522,9628.433617,12948.09098,0,0,0,0,1,16182642.89
7/16/2006,77473372.23,27290.40227,0.11521768,0.332294869,0.067795227,0.110493343,2.172447038,0.837792028,0.996124215,0.892729575,0.975717842,2.611844369,2.604454739,3.171319847,17518.49634,10282.10276,1713.92463,0.195849758,0.129454842,0.047740052,0.128963009,0.236874259,0.091840042,0.24779944,5.153328906,303.9760853,192.8692917,3.280063803,2114.30877,9630.883052,12947.35926,0,0,0,0,0,146785.1642
7/23/2006,76244214.27,27286.59453,0.148154948,0.304164759,0.07009693,0.099605638,2.185966778,0.882118488,0.996794053,0.890109224,0.975229304,2.614580289,2.596689069,3.213599715,17460.4351,10218.32639,1704.153326,0.183613721,0.105793062,0.037360936,0.109696666,0.223219055,0.093873388,0.24848581,5.153416374,302.6304262,193.0493918,3.280298484,2117.345212,9634.046212,12947.43486,0,0,0,0,0,-1283059.933
7/30/2006,77214633.82,27293.4011,0.146255576,0.305847175,0.077623593,0.105504817,2.17160964,0.829629723,0.996086964,0.888591942,0.974230248,2.61234517,2.591667973,3.180733575,17413.17784,10146.71808,1698.48145,0.186581696,0.100344038,0.021490363,0.110894422,0.218833002,0.098010997,0.23205949,5.153301428,300.7123826,193.2224289,3.280862567,2119.831977,9638.056646,12948.45769,0,0,0,0,0,-1720359.135
8/6/2006,80412993.28,27654.57915,0.140735421,0.302636399,0.088230046,0.104029341,2.170039053,0.86075894,0.99639651,0.93014407,0.973925552,2.607823554,2.595291165,3.176410296,17695.71055,10282.84095,1719.088671,0.178526803,0.090538107,0.032022575,0.112504416,0.195988687,0.103246546,0.218829377,5.152949356,298.2232645,193.3836667,3.281500326,2121.678698,9643.047166,12950.56689,0,0,0,0,0,823834.5736
8/13/2006,79333194.33,27789.37887,0.139218188,0.305308763,0.079851109,0.100508795,2.176024454,0.844248594,0.997142992,0.901812487,0.974181115,2.60698576,2.574250362,3.111563538,17829.34395,10323.30363,1727.659708,0.174741803,0.100373271,0.044992721,0.116841755,0.204791208,0.111838727,0.238312934,5.152325097,295.1643821,193.5283606,3.281956106,2122.794658,9649.151099,12953.90216,0,0,0,0,0,1969532.437
